PROVIDER_BUSINESS_GROUP_NBR,PRODUCT_CD,SERVICE_CD,SERVICE_TYPE_CD,PLACE_OF_SERVICE_CD,SCORE,mul_pay_method,nbr_of_rows,max_rate
372857773,MC,70490,CPT4,22,1,"[PERBIL,PERUNT]",2,409.0
522240429,MC,21325,CPT4,24,1,"[PERUNT,PERBIL]",2,2337.0
273960208,MC,75559,CPT4,22,1,"[FLAT,PERBIL]",2,508.0
455236929,MC,74150,CPT4,22,1,"[PERBIL,PERUNT]",2,2349.0
455236929,MEPO,77047,CPT4,22,1,"[PERUNT,PERBIL]",2,3211.0
429041768,MEPO,G0247,HCPC,11,1,"[PERBIL,PERUNT]",2,682.0
164568027,MEPO,19101,CPT4,22,1,"[PERBIL,PERUNT]",2,3799.0
454681176,MHMO,72130,CPT4,22,1,"[PERBIL,PERUNT]",2,458.0
219986066,MHMO,93597,CPT4,22,1,"[PERBLX,PERBIL]",2,75.0
259876981,MHMO,C8913,HCPC,22,1,"[PERBIL,PERUNT]",2,2629.0
210907876,MHMO,71555,CPT4,22,1,"[PERBIL,PERUNT]",2,2005.0
694252090,MHMO,74261,CPT4,22,1,"[PERBIL,FLAT]",2,1250.0
726266271,MHMO,77067,CPT4,22,1,"[PERBIL,PERUNT]",2,195.0
254959616,MPPO,73725,CPT4,22,1,"[FLAT,PERBLX]",2,1600.0
174652377,MPPO,71275,CPT4,22,1,"[PERBIL,PERUNT]",2,2062.0
164568027,MPPO,38589,CPT4,22,1,"[PERBIL,PERUNT]",2,5793.0
489704468,MPPO,26485,CPT4,24,1,"[PERBIL,PERUNT]",2,7368.0
630549560,MPPO,54000,CPT4,11,1,"[PERBIL,PERUNT]",2,3373.94
51346551,MPPO,74713,CPT4,22,1,"[FLAT,PERBIL]",2,1221.0
394877805,MPPO,C7528,HCPC,24,1,"[PERBLX,PERBIL]",3,68.0
