PROVIDER_BUSINESS_GROUP_NBR,PRODUCT_CD,SERVICE_GROUP_CD,SERVICE_TYPE_CD,PLACE_OF_SERVICE_CD,SCORE
520351117,ALL,DEFAULTSVC,CPT4,21,1
79434089,ALL,DEFAULTALL,ASA,21,1
105353991,MPPO,DEFAULTALL,REV,21,1
190630119,MEPO,DEFAULTALL,DRG,21,1
652056658,MPPO,DEFAULTSVC1,CPT4,21,1
653303939,MPPO,DEFAULTSVC1,REV,21,1
474668279,MPPO,DEFAULTSVC1,REV,21,1
449683854,MEPO,DEFAULTSVC1,REV,21,1
122387196,MC,DEFAULTOUT,DRG,21,1
59608070,MPPO,DEFAULTSVC1,DRG,21,1
168519047,MPPO,DEFAULTALL,DRG,21,1
775363432,MC,DEFAULTSVC1,CPT4,21,1
302613610,MPPO,DEFAULTALL,REV,21,1
417311528,MPPO,DEFAULTSVC1,DRG,21,1
41960360,MPPO,DEFAULTSVC1,ASA,21,1
752785904,MC,DEFAULTALL,CPT4,21,1
367644032,MPPO,DEFAULTSVC1,REV,21,1
490908777,MC,DEFAULTSVC1,CPT4,21,1
717835316,,A0021,HCPC,65,1
395894574,ALL,DEFAULTSVC,CPT4,31,1
296705389,ALL,DEFAULTALL,HCPC,02,1
661825490,ALL,DEFAULTALL,CPT4,99,1
465446157,ALL,DEFAULTALL,HCPC,02,1
265293507,ALL,DEFAULTOUT,CPT4,23,1
318232479,MHMO,DEFAULTOUT,HCPC,65,1
485847294,MEPO,AMBSURA2,CPT4,11,300
690150067,MBH,90791,CPT4,11,1
519582337,EAP,A0021,HCPC,11,1
588774774,,10021,CPT4,11,1
51682481,DPPO,J0120,HCPC,11,1
660420439,MEPOS,J0120,HCPC,11,1
562015759,MEPOS,J0120,HCPC,11,1
832844766,ALL,DEFAULTALL,CPT4,11,1
632623590,ALL,DEFAULTSVC,CPT4,11,1
26771805,ALL,DEFAULTALL,HCPC,11,1
18456510,ALL,DEFAULTSVC,CPT4,11,1
588248890,ALL,DEFAULTALL,CPT4,11,1
650589799,ALL,DEFAULTSVC,HCPC,11,1
252614043,ALL,DEFAULTSVC,CPT4,11,1
418160900,ALL,DEFAULTALL,CPT4,11,1
987041129,MC,DEFAULTSVC1,HCPC,11,1
665667569,MEPO,DEFAULTSVC1,HCPC,11,1
767699985,MPPO,DEFAULTSVC1,CPT4,11,1
688790028,MPPO,DEFAULTALL,CPT4,11,1
725512017,MC,DEFAULTSVC1,CPT4,11,1
816858556,MC,DEFAULTSVC1,HCPC,11,1
167889067,MPPO,DEFAULTALL,HCPC,11,1
616392241,MC,DEFAULTALL,HCPC,11,1
103846117,MEFFS,A0021,HCPC,12,1
31217306,DPPO,E0100,HCPC,12,1
942343988,ALL,DEFAULTOUT,CPT4,12,1
232846912,ALL,DEFAULTALL,HCPC,12,1
642685292,ALL,DEFAULTALL,HCPC,12,1
450542574,ALL,DEFAULTSVC,HCPC,12,1
671999106,ALL,DEFAULTALL,HCPC,12,1
